Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"21 Aug, 25",2,1,2025-08-09 04:34:12,5d ago
CHENNAI VAC,Dropbox,"07 Aug, 25",4,4,2025-07-25 02:03:31,20d ago
CHENNAI VAC,Regular,"21 Aug, 25",2,0,2025-08-13 16:30:38,19h ago
HYDERABAD,Regular,"29 Aug, 25",1,1,2025-08-09 19:31:07,4d ago
HYDERABAD VAC,Regular,"18 Aug, 25",6,3,2025-08-13 09:30:47,1d ago
MUMBAI,Regular,"12 Aug, 25",1,1,2025-08-05 09:32:37,9d ago
MUMBAI VAC,Regular,"19 Aug, 25",1,0,2025-08-11 12:07:02,3d ago
NEW DELHI,Regular,"28 Aug, 25",2,21,2025-08-04 03:58:54,10d ago
NEW DELHI VAC,Regular,"14 Aug, 25",2,0,2025-08-13 09:30:49,1d ago
