Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"25 Aug, 25",5,548,2025-08-02 09:58:53,12d ago
CHENNAI VAC,Regular,"17 Oct, 25",8,2,2025-08-02 09:57:54,12d ago
HYDERABAD VAC,Regular,"06 Oct, 25",23,126,2025-08-02 09:58:11,12d ago
NEW DELHI VAC,Regular,"05 Aug, 25",54,369,2025-08-02 09:58:27,12d ago
