Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"28 Aug, 25",1,1,2025-08-07 10:52:32,7d ago
CHENNAI VAC,Dropbox,"01 Aug, 25",9,10,2025-07-17 11:28:48,28d ago
CHENNAI VAC,Regular,"19 Aug, 25",1,1,2025-08-13 03:01:14,1d ago
HYDERABAD,Regular,"25 Aug, 25",1,1,2025-08-07 11:00:21,7d ago
HYDERABAD VAC,Regular,"19 Aug, 25",1,11,2025-08-13 03:01:28,1d ago
MUMBAI,Regular,"29 Aug, 25",1,14,2025-08-04 04:57:03,10d ago
MUMBAI VAC,Regular,"13 Aug, 25",1,0,2025-08-04 05:00:59,10d ago
NEW DELHI,Regular,"21 Aug, 25",7,23,2025-08-02 10:19:47,12d ago
NEW DELHI VAC,Regular,"12 Aug, 25",1,0,2025-08-03 05:44:50,11d ago
