Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"07 Aug, 25",1,1,2025-08-01 14:22:57,12d ago
CHENNAI VAC,Regular,"18 Aug, 25",6,3,2025-08-13 22:56:44,13h ago
HYDERABAD,Regular,"25 Aug, 25",4,4,2025-08-09 11:31:49,5d ago
HYDERABAD VAC,Regular,"18 Aug, 25",5,3,2025-08-13 22:56:52,13h ago
MUMBAI,Regular,"28 Aug, 25",2,5,2025-08-09 11:13:34,5d ago
MUMBAI VAC,Regular,"18 Aug, 25",7,4,2025-08-13 22:57:02,13h ago
NEW DELHI,Regular,"25 Aug, 25",12,3,2025-08-09 11:12:52,5d ago
NEW DELHI VAC,Regular,"31 Jul, 25",6,5,2025-07-29 14:23:56,15d ago
