Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"24 Aug, 26",1,2,2025-08-12 10:04:29,2d ago
HYDERABAD VAC,Regular,"07 Jul, 26",5,1,2025-08-14 05:29:47,6h ago
KOLKATA,Regular,"09 Sep, 25",1,2,2025-08-12 06:01:13,2d ago
KOLKATA VAC,Regular,"21 Sep, 25",21,36,2025-08-14 05:31:14,6h ago
MUMBAI,Regular,"03 Sep, 25",1,1,2025-08-12 06:00:39,2d ago
MUMBAI VAC,Regular,"08 Jul, 26",1,1,2025-08-12 11:33:36,2d ago
NEW DELHI VAC,Regular,"27 Aug, 25",34,415,2025-08-14 05:31:31,6h ago
