Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"04 Sep, 25",3,9,2025-08-13 04:42:34,1d ago
CHENNAI VAC,Regular,"29 Aug, 25",24,9,2025-08-13 17:00:44,19h ago
MUMBAI,Regular,"04 Sep, 25",5,175,2025-08-12 08:47:49,2d ago
MUMBAI VAC,Regular,"20 Aug, 25",41,29,2025-08-13 17:02:13,19h ago
NEW DELHI,Regular,"07 Oct, 25",5,6,2025-08-09 16:19:15,4d ago
NEW DELHI VAC,Dropbox,"25 Jul, 25",97,65,2025-07-24 05:04:14,21d ago
NEW DELHI VAC,Regular,"16 Sep, 25",21,8,2025-08-13 17:02:27,19h ago
