Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"22 Aug, 25",1,4,2025-08-02 10:40:25,12d ago
CHENNAI VAC,Dropbox,"04 Aug, 25",5,5,2025-07-24 23:31:03,20d ago
HYDERABAD,Regular,"21 Aug, 25",2,5,2025-07-27 06:29:48,18d ago
HYDERABAD VAC,Regular,"14 Aug, 25",1,1,2025-08-01 06:38:43,13d ago
MUMBAI,Regular,"21 Aug, 25",6,4,2025-08-02 09:50:57,12d ago
NEW DELHI,Regular,"22 Sep, 25",3,1,2025-08-02 10:13:24,12d ago
NEW DELHI VAC,Regular,"10 Sep, 25",1,6,2025-08-14 03:41:12,8h ago
