Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Dropbox,"20 Jul, 25",6,41,2025-07-15 14:41:21,29d ago
CHENNAI VAC,Regular,"17 Aug, 25",8,10,2025-08-12 12:24:49,1d ago
HYDERABAD VAC,Dropbox,"21 Jul, 25",4,2,2025-07-17 12:45:58,27d ago
MUMBAI IV,Regular,"26 Aug, 25",6,1,2025-08-13 12:45:58,23h ago
MUMBAI VAC,Dropbox,"21 Jul, 25",29,68,2025-07-17 12:46:23,27d ago
MUMBAI VAC,Regular,"14 Aug, 25",25,74,2025-08-12 11:41:37,2d ago
NEW DELHI VAC,Dropbox,"31 Aug, 25",1,7,2025-07-15 14:33:54,29d ago
