Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
HYDERABAD VAC,Regular,"21 Jul, 25",9,10,2025-07-19 13:27:23,25d ago
MUMBAI IV,Regular,"04 Aug, 25",4,1,2025-07-19 13:50:33,25d ago
MUMBAI VAC,Regular,"21 Jul, 25",9,6,2025-07-18 18:58:44,26d ago
