Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"07 Sep, 25",6,32,2025-08-11 13:29:15,2d ago
HYDERABAD VAC,Regular,"18 Jul, 25",5,1,2025-07-17 06:23:53,28d ago
MUMBAI VAC,Regular,"13 Aug, 25",14,30,2025-08-11 14:10:30,2d ago
NEW DELHI VAC,Regular,"31 Aug, 25",1,5,2025-07-16 06:51:06,29d ago
