Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"15 Sep, 25",9,110,2025-08-14 06:06:46,6h ago
CHENNAI,Regular,"15 Sep, 25",11,77,2025-08-14 06:01:30,6h ago
CHENNAI VAC,Dropbox,"19 Aug, 25",38,369,2025-08-14 01:14:02,10h ago
HYDERABAD,Regular,"12 Sep, 25",10,3,2025-08-14 06:06:05,6h ago
KOLKATA VAC,Regular,"25 Jul, 25",6,10,2025-07-24 09:34:23,21d ago
MUMBAI VAC,Regular,"02 Sep, 25",21,9,2025-08-14 01:47:11,10h ago
MUMBAI VAC,Regular,"20 Aug, 25",31,3,2025-08-12 14:53:13,1d ago
NEW DELHI VAC,Regular,"27 Oct, 25",2,3,2025-08-13 20:33:18,15h ago
NEW DELHI VAC,Regular,"22 Aug, 25",34,3,2025-08-12 14:53:22,1d ago
