Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"08 Sep, 25",4,2,2025-08-14 05:03:50,7h ago
CHENNAI VAC,Dropbox,"13 Aug, 25",42,11,2025-08-11 04:29:03,3d ago
HYDERABAD,Regular,"12 Sep, 25",1,3,2025-08-14 06:02:26,6h ago
KOLKATA,Regular,"19 Sep, 25",3,76,2025-08-10 06:39:03,4d ago
KOLKATA VAC,Regular,"14 Aug, 25",1,2,2025-08-13 10:01:54,1d ago
MUMBAI VAC,Regular,"22 Aug, 25",22,1,2025-08-14 06:03:06,6h ago
NEW DELHI,Regular,"03 Sep, 25",6,6,2025-08-06 04:03:57,8d ago
NEW DELHI VAC,Regular,"27 Oct, 25",1,1,2025-08-14 06:02:57,6h ago
