Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"10 Aug, 25",3,4,2025-08-07 09:51:43,7d ago
HYDERABAD VAC,Regular,"29 Jul, 25",3,10,2025-07-28 07:34:45,17d ago
MUMBAI IV,Regular,"22 Aug, 25",3,3,2025-08-07 09:52:16,7d ago
MUMBAI VAC,Regular,"08 Aug, 25",12,4,2025-08-07 09:51:52,7d ago
NEW DELHI VAC,Regular,"10 Aug, 25",3,17,2025-08-07 09:43:40,7d ago
