Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"17 Aug, 25",1,4,2025-08-12 15:29:35,1d ago
KOLKATA VAC,Regular,"24 Aug, 25",1,3,2025-08-12 15:29:26,1d ago
MUMBAI VAC,Regular,"14 Aug, 25",10,5,2025-08-12 15:29:48,1d ago
