Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:30:13,5h ago
HYDERABAD VAC,Regular,"22 Jun, 26",9,1,2025-08-14 04:11:43,7h ago
KOLKATA VAC,Regular,"22 Jun, 26",16,5,2025-08-14 04:11:46,7h ago
NEW DELHI VAC,Regular,"27 Aug, 25",37,435,2025-08-14 06:30:21,5h ago
