Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"03 Oct, 25",13,271,2025-08-14 02:47:44,9h ago
HYDERABAD,Regular,"01 Oct, 25",5,180,2025-08-14 02:49:34,9h ago
MUMBAI VAC,Regular,"21 Aug, 25",23,61,2025-08-14 02:45:59,9h ago
NEW DELHI VAC,Regular,"28 Oct, 25",1,2,2025-08-10 12:15:50,3d ago
