Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"17 Aug, 25",1,5,2025-08-13 22:59:00,13h ago
KOLKATA VAC,Regular,"24 Aug, 25",2,3,2025-08-13 22:59:05,13h ago
MUMBAI IV,Regular,"26 Aug, 25",6,8,2025-08-13 23:00:08,13h ago
MUMBAI VAC,Regular,"17 Aug, 25",16,2,2025-08-13 22:59:09,13h ago
NEW DELHI VAC,Regular,"10 Aug, 25",3,17,2025-08-07 07:54:49,7d ago
