Base_Visa_Type,Full_Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
H-2A,H-2A (Regular),HYDERABAD,Regular,"01 Oct, 25",5,180,2025-08-14 02:49:34,9h ago
H-2A,H-2A (Regular),MUMBAI VAC,Regular,"21 Aug, 25",23,61,2025-08-14 02:45:59,9h ago
H-2A,H-2A (Regular),NEW DELHI VAC,Regular,"28 Oct, 25",1,2,2025-08-10 12:15:50,3d ago
E2,E2 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:30:13,5h ago
E2,E2 (Regular),HYDERABAD VAC,Regular,"22 Jun, 26",9,1,2025-08-14 04:11:43,7h ago
E2,E2 (Regular),KOLKATA VAC,Regular,"22 Jun, 26",16,5,2025-08-14 04:11:46,7h ago
E2,E2 (Regular),NEW DELHI VAC,Regular,"27 Aug, 25",37,435,2025-08-14 06:30:21,5h ago
U-3,U-3 (Regular),CHENNAI VAC,Regular,"24 Aug, 26",1,2,2025-08-12 10:04:29,2d ago
U-3,U-3 (Regular),HYDERABAD VAC,Regular,"07 Jul, 26",5,1,2025-08-14 05:29:47,6h ago
U-3,U-3 (Regular),KOLKATA,Regular,"09 Sep, 25",1,2,2025-08-12 06:01:13,2d ago
U-3,U-3 (Regular),KOLKATA VAC,Regular,"21 Sep, 25",21,36,2025-08-14 05:31:14,6h ago
U-3,U-3 (Regular),MUMBAI,Regular,"03 Sep, 25",1,1,2025-08-12 06:00:39,2d ago
U-3,U-3 (Regular),MUMBAI VAC,Regular,"08 Jul, 26",1,1,2025-08-12 11:33:36,2d ago
U-3,U-3 (Regular),NEW DELHI VAC,Regular,"27 Aug, 25",34,415,2025-08-14 05:31:31,6h ago
Expedited Cases,Expedited Cases (Regular),CHENNAI VAC,Regular,"17 Aug, 25",1,4,2025-08-12 15:29:35,1d ago
Expedited Cases,Expedited Cases (Regular),KOLKATA VAC,Regular,"24 Aug, 25",1,3,2025-08-12 15:29:26,1d ago
Expedited Cases,Expedited Cases (Regular),MUMBAI VAC,Regular,"14 Aug, 25",10,5,2025-08-12 15:29:48,1d ago
