Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"21 Aug, 25",4,1,2025-08-14 02:30:32,9h ago
HYDERABAD,Regular,"03 Sep, 25",2,10,2025-08-14 02:44:26,9h ago
HYDERABAD VAC,Regular,"16 Sep, 25",8,2,2025-08-14 01:01:42,11h ago
KOLKATA,Regular,"21 Aug, 25",6,10,2025-08-14 02:00:55,10h ago
MUMBAI,Regular,"19 Aug, 25",4,2,2025-07-31 18:56:10,13d ago
MUMBAI VAC,Regular,"20 Aug, 25",4,1,2025-08-07 16:52:02,6d ago
NEW DELHI,Regular,"25 Aug, 25",1,3,2025-08-03 17:02:36,10d ago
NEW DELHI VAC,Regular,"25 Aug, 25",28,23,2025-08-14 01:02:36,11h ago
