Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Dropbox,"03 Aug, 25",4,35,2025-07-27 10:48:26,18d ago
CHENNAI VAC,Regular,"10 Aug, 25",2,8,2025-08-07 12:40:30,6d ago
MUMBAI IV,Regular,"21 Aug, 25",1,9,2025-07-30 06:07:43,15d ago
MUMBAI VAC,Emergency,"21 Jul, 25",29,5,2025-07-18 05:29:18,27d ago
MUMBAI VAC,Regular,"13 Aug, 25",15,61,2025-08-12 06:47:53,2d ago
NEW DELHI VAC,Regular,"24 Aug, 25",1,3,2025-08-05 14:56:23,8d ago
