Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
MUMBAI,Regular,"12 Aug, 25",1,1,2025-07-28 14:32:20,16d ago
MUMBAI VAC,Regular,"23 Sep, 25",6,1,2025-07-28 11:01:21,17d ago
NEW DELHI,Regular,"18 Aug, 25",2,1,2025-07-28 14:31:33,16d ago
NEW DELHI VAC,Regular,"06 Aug, 25",85,190,2025-07-28 17:01:08,16d ago
