Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
HYDERABAD VAC,Regular,"24 Jul, 25",2,2,2025-07-23 08:25:05,22d ago
MUMBAI VAC,Regular,"13 Aug, 25",15,52,2025-08-12 06:46:06,2d ago
