Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI VAC,Regular,"07 Sep, 25",6,43,2025-08-10 14:38:48,3d ago
MUMBAI VAC,Regular,"13 Aug, 25",16,29,2025-08-12 10:49:37,2d ago
