Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"01 Aug, 25",8,196,2025-07-21 06:43:35,24d ago
CHENNAI VAC,Regular,"23 Jul, 25",28,68,2025-07-21 06:43:06,24d ago
HYDERABAD VAC,Regular,"22 Jul, 25",35,12,2025-07-21 06:42:39,24d ago
MUMBAI VAC,Regular,"07 Aug, 26",11,9,2025-07-21 06:35:58,24d ago
NEW DELHI VAC,Regular,"06 Aug, 26",10,3,2025-07-21 06:03:56,24d ago
